,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
602,"Fanta Orange, Small",210.0,0.0,59.0,58.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
603,"Hi-C Flashinâ Fruit Punch, Large",420.0,0.0,115.0,113.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0
604,"Hi-C Flashinâ Fruit Punch, Medium",340.0,0.0,92.0,90.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0
605,"Hi-C Flashinâ Fruit Punch, Small",210.0,0.0,58.0,56.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0
606,"Honest Tropical Green Tea, Large",110.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
607,"Honest Tropical Green Tea, Medium",90.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
608,"Honest Tropical Green Tea, Small",60.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
609,Hot Tea,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,"Limeade, Large",460.0,0.0,117.0,111.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
611,"Limeade, Medium",380.0,0.0,98.0,93.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
612,"Limeade, Small",230.0,0.0,59.0,56.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
613,"Minute Maid Light Lemonade, Large",15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
614,"Minute Maid Light Lemonade, Medium",10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
