,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
147,Minute MaidÂ® 100% Apple Juice Box,100.0,0.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
148,DasaniÂ® Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Minute MaidÂ® Orange Juice (Small),150.0,2.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Minute MaidÂ® Orange Juice (Medium),190.0,3.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Minute MaidÂ® Orange Juice (Large),280.0,4.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
152,Coca-ColaÂ® Classic (Child),110.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
153,Coca-ColaÂ® Classic (Small),150.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
154,Coca-ColaÂ® Classic (Medium),210.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
155,Coca-ColaÂ® Classic (Large),310.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
156,Diet CokeÂ® (Child),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
157,Diet CokeÂ® (Small),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
158,Diet CokeÂ® (Medium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
159,Diet CokeÂ® (Large),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
160,SpriteÂ® (Child),110.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
161,SpriteÂ® (Small),150.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
162,SpriteÂ® (Medium),210.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
163,SpriteÂ® (Large),310.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
164,Hi-CÂ® Orange Lavaburst (Child),120.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Hi-CÂ® Orange Lavaburst (Small),160.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
166,Hi-CÂ® Orange Lavaburst (Medium),240.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
167,Hi-CÂ® Orange Lavaburst (Large),350.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
168,POWERadeÂ® Mountain Blast (Child),70.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
169,POWERadeÂ® Mountain Blast (Small),100.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0
170,POWERadeÂ® Mountain Blast (Medium),150.0,0.0,39.0,31.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0
171,POWERadeÂ® Mountain Blast (Large),220.0,0.0,58.0,46.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
172,Iced Tea (Child),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
173,Iced Tea (Small),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
174,Iced Tea (Medium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
175,Iced Tea (Large),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
176,Coffee (Small),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Coffee (Large),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Coffee Cream,20.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,15.0,0.0,10.0
179,Sugar Packet,15.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,"EQUALÂ® 0
Calorie Sweetener",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"SPLENDAÂ® No
Calorie Sweetener",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Iced Coffeeâ Caramel (Small),130.0,1.0,21.0,20.0,0.0,0.0,5.0,3.5,0.0,80.0,0.0,20.0
183,Iced Coffeeâ Caramel (Medium),190.0,2.0,27.0,27.0,0.0,0.0,8.0,5.0,0.0,115.0,0.0,30.0
184,Iced Coffeeâ Caramel (Large),270.0,2.0,41.0,41.0,0.0,0.0,11.0,7.0,0.0,160.0,0.0,40.0
185,Iced Coffeeâ Hazelnut (Small),130.0,1.0,21.0,21.0,0.0,0.0,5.0,3.5,0.0,40.0,0.0,20.0
186,Iced Coffeeâ Hazelnut (Medium),190.0,2.0,29.0,29.0,0.0,0.0,8.0,5.0,0.0,60.0,0.0,30.0
187,Iced Coffeeâ Hazelnut (Large),270.0,2.0,43.0,43.0,0.0,0.0,11.0,7.0,0.0,85.0,0.0,40.0
188,Iced Coffeeâ Regular (Small),140.0,1.0,22.0,22.0,0.0,0.0,5.0,3.5,0.0,40.0,0.0,20.0
189,Iced Coffeeâ Regular (Medium),200.0,2.0,30.0,30.0,0.0,0.0,8.0,5.0,0.0,60.0,0.0,30.0
190,Iced Coffeeâ Regular (Large),280.0,2.0,45.0,45.0,0.0,0.0,11.0,7.0,0.0,85.0,0.0,40.0
191,Iced Coffeeâ Vanilla (Small),130.0,1.0,21.0,21.0,0.0,0.0,5.0,3.5,0.0,40.0,0.0,20.0
192,Iced Coffeeâ Vanilla (Medium),190.0,2.0,29.0,28.0,0.0,0.0,8.0,5.0,0.0,60.0,0.0,30.0
193,Iced Coffeeâ Vanilla (Large),270.0,2.0,43.0,43.0,0.0,0.0,11.0,7.0,0.0,80.0,0.0,40.0
194,Iced Coffee with Sugar Free Vanilla Syrup (Small),60.0,1.0,8.0,1.0,0.0,0.0,5.0,3.5,0.0,70.0,0.0,20.0
195,Iced Coffee with Sugar Free Vanilla Syrup (Medium),90.0,2.0,11.0,2.0,0.0,0.0,8.0,5.0,0.0,100.0,0.0,30.0
196,Iced Coffee with Sugar Free Vanilla Syrup (Large),120.0,2.0,16.0,2.0,0.0,0.0,11.0,7.0,0.0,140.0,0.0,40.0
197,Sweet Tea (Child),110.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
198,Sweet Tea (Large),280.0,1.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
199,Sweet Tea (Medium),180.0,1.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
200,Sweet Tea (Small),150.0,1.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
201,Nonfat Cappuccino (Small),60.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,5.0
202,Nonfat Cappuccino (Medium),80.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,5.0
203,Nonfat Cappuccino (Large),90.0,9.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,5.0
204,Nonfat Latte (Small),90.0,9.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,5.0
205,Nonfat Latte (Medium),110.0,10.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,5.0
206,Nonfat Latte (Large),120.0,12.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,5.0
207,Nonfat Caramel Cappuccino (Small),150.0,5.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,5.0
208,Nonfat Caramel Cappuccino (Medium),190.0,6.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,5.0
209,Nonfat Caramel Cappuccino (Large),230.0,7.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,5.0
210,Nonfat Caramel Latte (Small),170.0,7.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,5.0
211,Nonfat Caramel Latte (Medium),220.0,9.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,5.0
212,Nonfat Caramel Latte (Large),260.0,10.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,5.0
213,Nonfat Hazelnut Cappuccino (Small),150.0,5.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,5.0
214,Nonfat Hazelnut Cappuccino (Medium),190.0,6.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,5.0
215,Nonfat Hazelnut Cappuccino (Large),230.0,7.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
216,Nonfat Hazelnut Latte (Small),180.0,7.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0
217,Nonfat Hazelnut Latte (Medium),220.0,9.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,5.0
218,Nonfat Hazelnut Latte (Large),260.0,10.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,5.0
219,Nonfat Vanilla Cappuccino (Small),150.0,5.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,5.0
220,Nonfat Vanilla Cappuccino (Medium),190.0,6.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,5.0
221,Nonfat Vanilla Cappuccino (Large),230.0,7.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
222,Nonfat Vanilla Latte (Small),180.0,7.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0
223,Nonfat Vanilla Latte (Medium),220.0,9.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,5.0
224,Nonfat Vanilla Latte (Large),260.0,10.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,5.0
225,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50.0,5.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
226,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70.0,7.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,5.0
227,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80.0,8.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,5.0
228,Nonfat Latte with Sugar Free Vanilla Syrup (Small),80.0,7.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,5.0
229,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90.0,9.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,5.0
230,Nonfat Latte with Sugar Free Vanilla Syrup (Large),110.0,11.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,5.0
231,Mocha with Nonfat Milk (Small),240.0,7.0,41.0,34.0,0.0,0.0,5.0,3.0,0.0,130.0,0.0,5.0
232,Mocha with Nonfat Milk (Medium),280.0,8.0,50.0,42.0,0.0,0.0,6.0,3.5,0.0,160.0,0.0,10.0
233,Mocha with Nonfat Milk (Large),330.0,10.0,58.0,50.0,0.0,0.0,6.0,3.5,0.0,190.0,0.0,10.0
234,Hot Chocolate with Nonfat Milk (Small),250.0,8.0,43.0,37.0,0.0,0.0,5.0,3.0,0.0,140.0,0.0,10.0
235,Hot Chocolate with Nonfat Milk (Medium),310.0,11.0,55.0,47.0,0.0,0.0,6.0,3.5,0.0,190.0,0.0,10.0
236,Hot Chocolate with Nonfat Milk (Large),390.0,16.0,68.0,59.0,0.0,0.0,6.0,3.5,0.0,250.0,0.0,10.0
237,Iced Nonfat Latte (Small),50.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,5.0
238,Iced Nonfat Latte (Medium),60.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,5.0
239,Iced Nonfat Latte (Large),70.0,7.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,5.0
240,Iced Nonfat Caramel Latte (Small),140.0,3.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0
241,Iced Nonfat Caramel Latte (Medium),150.0,5.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,5.0
242,Iced Nonfat Caramel Latte (Large),190.0,6.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,5.0
243,Iced Nonfat Hazelnut Latte (Small),140.0,3.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
244,Iced Nonfat Hazelnut Latte (Medium),150.0,5.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,5.0
245,Iced Nonfat Hazelnut Latte (Large),190.0,6.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0
246,Iced Nonfat Vanilla Latte (Small),140.0,3.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
247,Iced Nonfat Vanilla Latte (Medium),150.0,5.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,5.0
248,Iced Nonfat Vanilla Latte (Large),190.0,6.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,5.0
249,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40.0,4.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0
250,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50.0,5.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
251,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60.0,6.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,5.0
252,Iced Mocha with Nonfat Milk (Medium),270.0,7.0,43.0,35.0,0.0,0.0,8.0,4.5,0.0,140.0,0.0,10.0
253,Iced Nonfat Caramel Mocha (Large),300.0,11.0,49.0,45.0,0.0,0.0,6.0,4.0,0.0,230.0,0.0,10.0
254,Iced Nonfat Caramel Mocha (Medium),240.0,9.0,37.0,34.0,0.0,0.0,6.0,4.0,0.0,190.0,0.0,10.0
255,Iced Nonfat Caramel Mocha (Small),200.0,6.0,29.0,26.0,0.0,0.0,6.0,4.0,0.0,140.0,0.0,10.0
256,Nonfat Caramel Mocha (Large),280.0,12.0,49.0,46.0,0.0,0.0,4.0,2.5,0.0,260.0,0.0,10.0
257,Nonfat Caramel Mocha (Medium),240.0,9.0,41.0,38.0,0.0,0.0,4.0,2.5,0.0,200.0,0.0,5.0
258,Nonfat Caramel Mocha (Small),200.0,8.0,34.0,31.0,0.0,0.0,4.0,2.5,0.0,170.0,0.0,5.0
259,Cappuccino (Small),120.0,6.0,9.0,9.0,0.0,0.0,7.0,4.0,0.0,85.0,0.0,20.0
260,Cappuccino (Medium),140.0,8.0,11.0,11.0,0.0,0.0,8.0,4.5,0.0,105.0,0.0,25.0
261,Cappuccino (Large),180.0,9.0,13.0,13.0,0.0,0.0,10.0,6.0,0.0,130.0,0.0,30.0
262,Latte (Small) ,150.0,8.0,11.0,11.0,0.0,0.0,8.0,4.5,0.0,105.0,0.0,25.0
263,Latte (Medium),180.0,10.0,13.0,13.0,0.0,0.0,10.0,6.0,0.0,130.0,0.0,30.0
264,Latte (Large),210.0,11.0,16.0,16.0,0.0,0.0,11.0,7.0,0.0,150.0,0.0,35.0
265,Caramel Cappuccino (Small),200.0,5.0,32.0,32.0,0.0,0.0,5.0,3.0,0.0,125.0,0.0,15.0
266,Caramel Cappuccino (Medium),240.0,6.0,41.0,40.0,0.0,0.0,6.0,3.5,0.0,150.0,0.0,20.0
267,Caramel Cappuccino (Large),290.0,8.0,49.0,49.0,0.0,0.0,8.0,4.5,0.0,190.0,0.0,25.0
268,Caramel Latte (Small),230.0,7.0,35.0,35.0,0.0,0.0,7.0,4.0,0.0,140.0,0.0,20.0
269,Caramel Latte (Medium),280.0,8.0,43.0,43.0,0.0,0.0,8.0,4.5,0.0,170.0,0.0,25.0
270,Caramel Latte (Large),330.0,9.0,52.0,51.0,0.0,0.0,9.0,5.0,0.0,210.0,0.0,30.0
271,Hazelnut Cappuccino (Small),200.0,5.0,34.0,34.0,0.0,0.0,5.0,3.0,0.0,70.0,0.0,15.0
272,Hazelnut Cappuccino (Medium),240.0,6.0,42.0,42.0,0.0,0.0,6.0,3.5,0.0,85.0,0.0,20.0
273,Hazelnut Cappuccino (Large),290.0,7.0,51.0,51.0,0.0,0.0,8.0,4.5,0.0,105.0,0.0,25.0
274,Hazelnut Latte (Small),230.0,7.0,36.0,36.0,0.0,0.0,7.0,4.0,0.0,90.0,0.0,20.0
275,Hazelnut Latte (Medium),280.0,8.0,45.0,45.0,0.0,0.0,8.0,4.5,0.0,110.0,0.0,25.0
276,Hazelnut Latte (Large),330.0,9.0,53.0,53.0,0.0,0.0,9.0,5.0,0.0,130.0,0.0,30.0
277,Vanilla Cappuccino (Small),200.0,5.0,34.0,34.0,0.0,0.0,5.0,3.0,0.0,70.0,0.0,15.0
278,Vanilla Cappuccino (Medium),240.0,6.0,42.0,42.0,0.0,0.0,6.0,3.5,0.0,85.0,0.0,20.0
279,Vanilla Cappuccino (Large),290.0,7.0,51.0,51.0,0.0,0.0,8.0,4.5,0.0,105.0,0.0,25.0
280,Vanilla Latte (Small),230.0,7.0,36.0,36.0,0.0,0.0,7.0,4.0,0.0,90.0,0.0,20.0
281,Vanilla Latte (Medium),280.0,8.0,44.0,44.0,0.0,0.0,8.0,4.5,0.0,110.0,0.0,25.0
282,Vanilla Latte (Large),330.0,9.0,53.0,53.0,0.0,0.0,9.0,5.0,0.0,130.0,0.0,30.0
283,Cappuccino with Sugar Free Vanilla Syrup (Small),100.0,5.0,15.0,7.0,0.0,0.0,5.0,3.0,0.0,105.0,0.0,15.0
284,Cappuccino with Sugar Free Vanilla Syrup (Medium),120.0,6.0,18.0,9.0,0.0,0.0,6.0,3.5,0.0,130.0,0.0,20.0
285,Cappuccino with Sugar Free Vanilla Syrup (Large),150.0,8.0,22.0,11.0,0.0,0.0,8.0,4.5,0.0,160.0,0.0,25.0
286,Latte with Sugar Free Vanilla Syrup (Small),130.0,7.0,17.0,10.0,0.0,0.0,7.0,4.0,0.0,125.0,0.0,20.0
287,Latte with Sugar Free Vanilla Syrup (Medium),160.0,8.0,21.0,11.0,0.0,0.0,8.0,5.0,0.0,150.0,0.0,25.0
288,Latte with Sugar Free Vanilla Syrup (Large),180.0,10.0,25.0,13.0,0.0,0.0,10.0,6.0,0.0,180.0,0.0,30.0
289,Mocha (Small),280.0,6.0,40.0,33.0,0.0,0.0,11.0,6.0,0.0,125.0,0.0,20.0
290,Mocha (Medium),330.0,7.0,48.0,41.0,0.0,0.0,12.0,7.0,0.0,150.0,0.0,25.0
291,Mocha (Large),400.0,10.0,58.0,49.0,0.0,0.0,14.0,8.0,0.5,190.0,0.0,30.0
292,Hot Chocolate (Small),300.0,8.0,41.0,35.0,0.0,0.0,12.0,7.0,0.0,135.0,0.0,25.0
293,Hot Chocolate (Medium),380.0,10.0,53.0,45.0,0.0,0.0,15.0,9.0,0.5,170.0,0.0,30.0
294,Hot Chocolate (Large),460.0,13.0,63.0,54.0,0.0,0.0,18.0,10.0,0.5,220.0,0.0,40.0
295,Iced Latte (Small),80.0,4.0,6.0,6.0,0.0,0.0,4.5,2.5,0.0,65.0,0.0,15.0
296,Iced Latte (Medium),100.0,6.0,8.0,8.0,0.0,0.0,6.0,3.5,0.0,80.0,0.0,15.0
297,Iced Latte (Large),140.0,7.0,10.0,10.0,0.0,0.0,8.0,4.5,0.0,105.0,0.0,25.0
298,Iced Caramel Latte (Small),160.0,3.0,29.0,29.0,0.0,0.0,3.0,1.5,0.0,100.0,0.0,10.0
299,Iced Caramel Latte (Medium),180.0,4.0,31.0,31.0,0.0,0.0,4.5,2.5,0.0,120.0,0.0,15.0
300,Iced Caramel Latte (Large),230.0,6.0,40.0,40.0,0.0,0.0,6.0,3.5,0.0,150.0,0.0,15.0
301,Iced Hazelnut Latte (Small),160.0,3.0,31.0,31.0,0.0,0.0,3.0,1.5,0.0,45.0,0.0,10.0
302,Iced Hazelnut Latte (Medium),180.0,4.0,33.0,33.0,0.0,0.0,4.5,2.5,0.0,65.0,0.0,15.0
303,Iced Hazelnut Latte (Large),230.0,6.0,41.0,41.0,0.0,0.0,6.0,3.5,0.0,85.0,0.0,15.0
304,Iced Vanilla Latte (Small),160.0,3.0,31.0,31.0,0.0,0.0,3.0,1.5,0.0,45.0,0.0,10.0
305,Iced Vanilla Latte (Medium),190.0,5.0,33.0,33.0,0.0,0.0,4.5,2.5,0.0,70.0,0.0,15.0
306,Iced Vanilla Latte (Large),230.0,6.0,41.0,41.0,0.0,0.0,6.0,3.5,0.0,85.0,0.0,15.0
307,Iced Latte with Sugar Free Vanilla Syrup (Small),60.0,3.0,12.0,4.0,0.0,0.0,3.0,2.0,0.0,80.0,0.0,10.0
308,Iced Latte with Sugar Free Vanilla Syrup (Medium),90.0,5.0,14.0,6.0,0.0,0.0,5.0,3.0,0.0,105.0,0.0,15.0
309,Iced Latte with Sugar Free Vanilla Syrup (Large),110.0,6.0,19.0,8.0,0.0,0.0,6.0,3.5,0.0,130.0,0.0,15.0
310,Iced Mocha (Medium),310.0,7.0,42.0,35.0,0.0,0.0,13.0,8.0,0.0,140.0,0.0,25.0
311,Caramel Mocha (Large),360.0,10.0,47.0,46.0,0.0,0.0,14.0,8.0,0.5,220.0,0.0,35.0
312,Caramel Mocha (Medium),290.0,8.0,39.0,38.0,0.0,0.0,12.0,7.0,0.0,180.0,0.0,25.0
313,Caramel Mocha (Small),250.0,7.0,33.0,31.0,0.0,0.0,11.0,6.0,0.0,150.0,0.0,25.0
314,Iced Caramel Mocha (Large),380.0,10.0,48.0,46.0,0.0,0.0,16.0,9.0,0.5,210.0,0.0,35.0
315,Iced Caramel Mocha (Medium),300.0,8.0,36.0,33.0,0.0,0.0,14.0,8.0,0.0,160.0,0.0,30.0
316,Iced Caramel Mocha (Small),240.0,6.0,29.0,26.0,0.0,0.0,12.0,7.0,0.0,130.0,0.0,25.0
317,Frappe Caramel (Small),450.0,6.0,61.0,57.0,0.0,0.0,20.0,13.0,1.0,135.0,0.0,55.0
318,Frappe Caramel (Medium),550.0,8.0,76.0,71.0,0.0,0.0,24.0,15.0,1.0,160.0,0.0,70.0
319,Frappe Caramel (Large),680.0,10.0,94.0,88.0,0.0,0.0,29.0,18.0,1.5,200.0,0.0,85.0
320,Frappe Mocha (Small),450.0,7.0,62.0,56.0,0.0,1.0,20.0,13.0,1.0,130.0,0.0,55.0
321,Frappe Mocha (Medium),560.0,8.0,78.0,70.0,0.0,1.0,24.0,15.0,1.0,160.0,0.0,65.0
322,Frappe Mocha (Large),680.0,10.0,96.0,87.0,0.0,1.0,28.0,18.0,1.0,200.0,0.0,80.0
323,Strawberry Banana Smoothie (Large),330.0,3.0,77.0,70.0,0.0,4.0,1.0,0.5,0.0,55.0,0.0,5.0
324,Strawberry Banana Smoothie (Medium),260.0,2.0,60.0,54.0,0.0,3.0,1.0,0.0,0.0,40.0,0.0,5.0
325,Strawberry Banana Smoothie (Small),210.0,2.0,49.0,44.0,0.0,2.0,0.5,0.0,0.0,35.0,0.0,5.0
326,Wild Berry Smoothie (Large),320.0,3.0,75.0,69.0,0.0,4.0,1.0,0.5,0.0,45.0,0.0,5.0
327,Wild Berry Smoothie (Medium),260.0,3.0,60.0,55.0,0.0,4.0,1.0,0.0,0.0,35.0,0.0,5.0
328,Wild Berry Smoothie (Small),210.0,2.0,48.0,44.0,0.0,3.0,0.5,0.0,0.0,30.0,0.0,5.0
329,WhopperÂ® Sandwich,660.0,28.0,49.0,11.0,0.0,2.0,40.0,12.0,1.5,980.0,0.0,90.0
330,WhopperÂ® Sandwich with Cheese,740.0,32.0,50.0,11.0,0.0,2.0,46.0,16.0,2.0,1340.0,0.0,115.0
331,Bacon & Cheese WhopperÂ® Sandwich,790.0,35.0,50.0,11.0,0.0,2.0,51.0,17.0,2.0,1560.0,0.0,125.0
332,Double WhopperÂ® Sandwich,900.0,48.0,49.0,11.0,0.0,2.0,58.0,20.0,3.0,1050.0,0.0,175.0
333,Double WhopperÂ® Sandwich with Cheese,980.0,52.0,50.0,11.0,0.0,2.0,64.0,24.0,3.0,1410.0,0.0,195.0
334,Triple WhopperÂ® Sandwich,1130.0,67.0,49.0,11.0,0.0,2.0,75.0,28.0,4.0,1120.0,0.0,255.0
335,Triple WhopperÂ® Sandwich with Cheese,1220.0,71.0,50.0,11.0,0.0,2.0,82.0,32.0,4.5,1470.0,0.0,280.0
336,Whopper JR.Â® Sandwich,310.0,13.0,27.0,7.0,0.0,1.0,18.0,5.0,0.5,390.0,0.0,40.0
337,Bacon King Sandwich,1150.0,61.0,49.0,10.0,0.0,2.0,79.0,31.0,3.5,2150.0,0.0,240.0
338,Cheddar Bacon King Sandwich,1190.0,64.0,50.0,11.0,0.0,2.0,84.0,33.0,3.5,1930.0,0.0,235.0
339,Single Quarter Pound King Sandwich,580.0,32.0,49.0,10.0,0.0,2.0,29.0,13.0,1.5,1310.0,0.0,105.0
340,Double Quarter Pound King Sandwich,900.0,56.0,50.0,11.0,0.0,2.0,54.0,25.0,3.0,1740.0,0.0,210.0
341,Single Stacker King,700.0,35.0,48.0,10.0,0.0,1.0,42.0,16.0,2.0,1360.0,0.0,125.0
342,Double Stacker King,1050.0,61.0,49.0,11.0,0.0,1.0,68.0,28.0,3.5,1870.0,0.0,235.0
343,IMPOSSIBLE WhopperÂ® Sandwich,630.0,25.0,58.0,12.0,0.0,4.0,34.0,11.0,0.0,1080.0,0.0,10.0
344,Hamburger,240.0,13.0,26.0,6.0,0.0,1.0,10.0,3.5,0.5,380.0,0.0,35.0
345,Cheeseburger,280.0,15.0,27.0,7.0,0.0,1.0,13.0,6.0,0.5,560.0,0.0,45.0
346,Double Hamburger,350.0,21.0,26.0,6.0,0.0,1.0,18.0,7.0,1.0,410.0,0.0,70.0
347,Double Cheeseburger,390.0,23.0,27.0,7.0,0.0,1.0,21.0,9.0,1.5,590.0,0.0,85.0
348,Extra Long Cheeseburger,630.0,29.0,45.0,9.0,0.0,2.0,37.0,14.0,1.5,1050.0,0.0,100.0
349,Bacon Cheeseburger,320.0,17.0,27.0,7.0,0.0,1.0,16.0,7.0,0.5,710.0,0.0,55.0
350,Bacon Double Cheeseburger,420.0,25.0,27.0,7.0,0.0,1.0,24.0,10.0,1.5,740.0,0.0,90.0
351,Crispy Chicken Sandwich,670.0,23.0,54.0,8.0,0.0,2.0,41.0,7.0,0.0,1080.0,0.0,60.0
352,Spicy Crispy Chicken Sandwich,700.0,25.0,57.0,8.0,0.0,3.0,42.0,7.0,0.0,1140.0,0.0,65.0
