,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
48,"Cadbury Fuse Peanut & Caramel Filled Chocolate Bar,",540.0,7.9,54.3,44.2,37.4,0.0,33.1,17.6,0.1,236.0,0.0,3.8
49,Cadbury Gems Surprise Chocolate,468.0,3.6,75.1,70.0,61.6,0.0,17.5,17.3,0.2,74.0,0.0,3.0
50,Cadbury Perk Chocolate,517.0,3.6,67.6,45.9,0.0,1.8,25.8,23.4,0.2,92.0,0.0,0.0
51,Cadbury Chocobakes Choc Layered Cakes,497.0,5.1,66.4,39.8,0.0,1.9,24.5,11.6,0.2,195.0,0.0,0.0
52,Britannia Nutri Choice Seeds Biscuits ,493.0,11.0,63.0,13.6,11.6,6.8,23.4,9.6,0.0,314.0,0.0,2.8
53,Mom's Magic Rich Cashew Almond Cookies,503.0,7.8,66.4,22.8,0.0,0.0,22.9,10.3,0.0,0.0,0.0,0.0
54,Sunfeast Dark Fantasy Yumfills,425.0,5.4,63.9,33.1,26.3,0.0,16.4,10.7,0.05,146.8,0.0,2.4
55,Sunfeast YiPPee! Tricolor Pasta,358.0,10.9,73.9,10.9,1.8,0.0,2.8,1.2,0.01,1430.5,0.0,0.1
56,Sunfeast Nice Biscuit,473.0,7.5,72.8,31.7,0.0,0.0,16.9,9.9,0.1,0.0,0.0,0.0
57,Sunfeast Bounce Cream Tangy Orange,465.0,6.1,76.0,36.2,34.9,0.0,15.1,7.4,0.02,166.7,0.0,0.0
58,Sunfeast Farmlite Super Millets Ragi & Jowar Cookies,496.0,6.2,56.7,21.0,17.7,3.2,27.9,15.1,0.16,470.1,4.73,1.0
59,"Sunfeast Farmlite 5 Grain Digestive Biscuit, High Fibre Biscuit",467.0,8.3,67.4,21.0,19.2,8.0,20.0,8.3,0.03,674.5,0.0,0.1
60,Parle G Original Gluco Biscuits,451.0,6.5,78.2,25.5,0.0,1.8,12.5,6.5,0.0,0.0,0.0,0.0
61,Parle G Gold,462.0,6.6,76.0,26.9,0.0,1.7,14.6,0.0,0.0,0.0,0.0,0.0
62,Parle Monaco Cheeselings,489.0,8.2,69.0,3.3,0.0,0.0,20.0,9.5,0.0,0.0,0.0,0.0
63,Parle Hide and Seek Chocolate Chip Cookies,479.0,5.9,73.4,32.2,0.0,0.0,18.0,9.4,0.0,0.0,0.0,0.0
64,Parle-G Oats & Berries Biscuits,445.0,7.2,78.8,25.6,24.6,0.0,11.2,5.0,0.0,303.0,0.0,0.0
65,Parle Nutricrunch Classic Digestive Cookies,489.0,6.7,70.5,15.6,14.4,6.0,20.0,9.2,0.0,251.0,0.0,0.0
66,"Parle Rusk, Elachi",433.0,7.6,80.7,24.4,0.0,0.0,8.9,4.6,0.0,0.0,0.0,0.0
67,"Parle Marie
",451.0,7.7,77.2,20.0,0.0,0.0,12.4,5.7,0.0,0.0,0.0,0.0
68,Parle Wafers Piri Piri,562.0,7.3,56.7,2.0,0.0,0.0,34.0,16.2,0.1,0.0,0.0,0.0
69,Parle Bigger Kaccha Mango Bite,386.0,0.0,96.5,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Parle Bigger Mango Bite,391.0,0.0,97.8,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"Parle Fab! Jam-in Mixed Fruit Flavoured Jam Biscuits
",462.0,4.8,78.0,37.0,0.0,0.0,14.6,6.7,0.0,0.0,0.0,0.0
72,Parle Bigger Orange Bite,385.0,0.0,96.3,79.0,71.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0
73,Parle Top Delicious & Crispy,505.0,7.4,66.7,9.7,0.0,0.0,23.1,11.0,0.0,0.0,0.0,1.5
74,Parle Krackjack The Original Sweet & Salty Crackers,489.0,6.8,70.5,19.6,19.1,0.0,19.9,9.4,0.0,371.0,0.0,0.0
75,Parle Happy Choco Chip Happy Cookies,489.0,5.8,71.3,30.4,0.0,0.0,20.1,10.6,0.0,0.0,0.0,0.0
76,Parle Grand Londonderry Pouch,401.0,1.2,91.7,72.8,0.0,0.0,3.3,1.2,0.0,0.0,0.0,0.0
77,Parle Kismi Assorted with Four Delecious Flavoured Elaichi,418.0,2.5,80.5,52.0,0.0,0.0,9.5,5.15,0.0,0.0,0.0,0.0
78,Parle Magix Orange Cream Biscuit,462.0,5.6,77.3,35.1,34.8,0.0,14.5,6.7,0.0,228.0,0.0,0.0
79,Parle Fab Bourbon,467.0,5.1,76.4,41.5,41.3,0.0,15.7,7.7,0.0,102.0,0.0,0.0
