Food_name,Energy(kcal)_per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Cholesterol per 100 mg,Sodium(mg) per 100 g,Carbohydrate(g) per 100 g,fibre(g) per 100 g,total sugar(g) per 100 g,Protein(g) per 100 g
Nonfat Hazelnut Cappuccino (Small),150,0,0,0,5,70,34,0,34,5
Nonfat Hazelnut Cappuccino (Medium),190,0,0,0,5,90,43,0,43,6
Nonfat Hazelnut Cappuccino (Large),230,0,0,0,5,100,51,0,51,7
Nonfat Hazelnut Latte (Small),180,0,0,0,5,95,37,0,37,7
Nonfat Hazelnut Latte (Medium),220,0,0,0,5,115,46,0,46,9
Nonfat Hazelnut Latte (Large),260,0,0,0,5,135,55,0,55,10
Nonfat Vanilla Cappuccino (Small),150,0,0,0,5,70,34,0,34,5
Nonfat Vanilla Cappuccino (Medium),190,0,0,0,5,90,42,0,42,6
Nonfat Vanilla Cappuccino (Large),230,0,0,0,5,100,51,0,51,7
Nonfat Vanilla Latte (Small),180,0,0,0,5,95,37,0,37,7
Nonfat Vanilla Latte (Medium),220,0,0,0,5,115,46,0,46,9
Nonfat Vanilla Latte (Large),260,0,0,0,5,135,55,0,55,10
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50,0,0,0,5,100,15,0,8,5
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70,0,0,0,5,130,19,0,10,7
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80,0,0,0,5,150,22,0,11,8
Nonfat Latte with Sugar Free Vanilla Syrup (Small),80,0,0,0,5,130,18,0,11,7
Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90,0,0,0,5,160,22,0,13,9
Nonfat Latte with Sugar Free Vanilla Syrup (Large),110,0,0,0,5,190,27,0,15,11
Mocha with Nonfat Milk (Small),240,5,3,0,5,130,41,0,34,7
Mocha with Nonfat Milk (Medium),280,6,3.5,0,10,160,50,0,42,8
Mocha with Nonfat Milk (Large),330,6,3.5,0,10,190,58,0,50,10
Hot Chocolate with Nonfat Milk (Small),250,5,3,0,10,140,43,0,37,8
Hot Chocolate with Nonfat Milk (Medium),310,6,3.5,0,10,190,55,0,47,11
Hot Chocolate with Nonfat Milk (Large),390,6,3.5,0,10,250,68,0,59,16
Iced Nonfat Latte (Small),50,0,0,0,5,70,7,0,7,5
Iced Nonfat Latte (Medium),60,0,0,0,5,90,9,0,9,6
Iced Nonfat Latte (Large),70,0,0,0,5,105,11,0,11,7
Iced Nonfat Caramel Latte (Small),140,0,0,0,0,105,30,0,30,3
Iced Nonfat Caramel Latte (Medium),150,0,0,0,5,120,32,0,32,5
Iced Nonfat Caramel Latte (Large),190,0,0,0,5,150,40,0,40,6
Iced Nonfat Hazelnut Latte (Small),140,0,0,0,0,50,32,0,32,3
Iced Nonfat Hazelnut Latte (Medium),150,0,0,0,5,70,33,0,33,5
Iced Nonfat Hazelnut Latte (Large),190,0,0,0,5,80,42,0,42,6
Iced Nonfat Vanilla Latte (Small),140,0,0,0,0,50,31,0,31,3
Iced Nonfat Vanilla Latte (Medium),150,0,0,0,5,70,33,0,33,5
Iced Nonfat Vanilla Latte (Large),190,0,0,0,5,85,41,0,41,6
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40,0,0,0,0,85,13,0,5,4
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50,0,0,0,5,100,14,0,6,5
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60,0,0,0,5,130,19,0,8,6
Iced Mocha with Nonfat Milk (Medium),270,8,4.5,0,10,140,43,0,35,7
Iced Nonfat Caramel Mocha (Large),300,6,4,0,10,230,49,0,45,11
Iced Nonfat Caramel Mocha (Medium),240,6,4,0,10,190,37,0,34,9
Iced Nonfat Caramel Mocha (Small),200,6,4,0,10,140,29,0,26,6
Nonfat Caramel Mocha (Large),280,4,2.5,0,10,260,49,0,46,12
Nonfat Caramel Mocha (Medium),240,4,2.5,0,5,200,41,0,38,9
Nonfat Caramel Mocha (Small),200,4,2.5,0,5,170,34,0,31,8
Cappuccino (Small),120,7,4,0,20,85,9,0,9,6
Cappuccino (Medium),140,8,4.5,0,25,105,11,0,11,8
Cappuccino (Large),180,10,6,0,30,130,13,0,13,9
Latte (Small) ,150,8,4.5,0,25,105,11,0,11,8
Latte (Medium),180,10,6,0,30,130,13,0,13,10
Latte (Large),210,11,7,0,35,150,16,0,16,11
Caramel Cappuccino (Small),200,5,3,0,15,125,32,0,32,5
Caramel Cappuccino (Medium),240,6,3.5,0,20,150,41,0,40,6
Caramel Cappuccino (Large),290,8,4.5,0,25,190,49,0,49,8
Caramel Latte (Small),230,7,4,0,20,140,35,0,35,7
Caramel Latte (Medium),280,8,4.5,0,25,170,43,0,43,8
Caramel Latte (Large),330,9,5,0,30,210,52,0,51,9
Hazelnut Cappuccino (Small),200,5,3,0,15,70,34,0,34,5
Hazelnut Cappuccino (Medium),240,6,3.5,0,20,85,42,0,42,6
Hazelnut Cappuccino (Large),290,8,4.5,0,25,105,51,0,51,7
Hazelnut Latte (Small),230,7,4,0,20,90,36,0,36,7
Hazelnut Latte (Medium),280,8,4.5,0,25,110,45,0,45,8
Hazelnut Latte (Large),330,9,5,0,30,130,53,0,53,9
Vanilla Cappuccino (Small),200,5,3,0,15,70,34,0,34,5
Vanilla Cappuccino (Medium),240,6,3.5,0,20,85,42,0,42,6
Vanilla Cappuccino (Large),290,8,4.5,0,25,105,51,0,51,7
Vanilla Latte (Small),230,7,4,0,20,90,36,0,36,7
Vanilla Latte (Medium),280,8,4.5,0,25,110,44,0,44,8
Vanilla Latte (Large),330,9,5,0,30,130,53,0,53,9
Cappuccino with Sugar Free Vanilla Syrup (Small),100,5,3,0,15,105,15,0,7,5
Cappuccino with Sugar Free Vanilla Syrup (Medium),120,6,3.5,0,20,130,18,0,9,6
Cappuccino with Sugar Free Vanilla Syrup (Large),150,8,4.5,0,25,160,22,0,11,8
Latte with Sugar Free Vanilla Syrup (Small),130,7,4,0,20,125,17,0,10,7
Latte with Sugar Free Vanilla Syrup (Medium),160,8,5,0,25,150,21,0,11,8
Latte with Sugar Free Vanilla Syrup (Large),180,10,6,0,30,180,25,0,13,10
Mocha (Small),280,11,6,0,20,125,40,0,33,6
Mocha (Medium),330,12,7,0,25,150,48,0,41,7
Mocha (Large),400,14,8,0.5,30,190,58,0,49,10
Hot Chocolate (Small),300,12,7,0,25,135,41,0,35,8
