Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg,Health_Label_for_normal_person,Health_Label_High_Cholesterol,Health_Label_High_fat,Health_Label_High_sugar
134.0,6.81,10.04,10.04,0.0,0.0,7.56,4.591,0.0,106.0,0.19,29.0,0,1.0,1,1.0
78.0,7.55,11.35,11.35,0.0,0.0,0.2,0.121,0.0,115.0,0.29,4.0,0,1.0,1,1.0
83.0,3.17,10.34,9.54,0.0,0.8,3.39,2.104,0.0,60.0,0.24,12.0,0,1.0,1,1.0
76.0,2.99,12.13,9.55,0.0,0.7,1.9,1.177,0.0,66.0,0.24,8.0,0,1.0,1,1.0
62.0,3.46,9.86,9.94,0.0,0.1,1.0,0.584,0.0,65.0,0.23,5.0,0,1.0,1,1.0
77.0,3.52,10.74,9.66,0.0,1.0,2.34,1.431,0.0,44.0,0.42,8.0,0,1.0,1,1.0
69.0,3.56,4.45,4.45,0.0,0.0,4.14,2.667,0.0,50.0,0.05,11.0,0,1.0,1,1.0
70.0,1.03,6.89,6.89,0.0,0.0,4.38,2.009,0.0,17.0,0.03,14.0,0,1.0,1,1.0
119.0,3.05,21.15,20.85,0.0,0.3,2.7,1.681,0.0,111.0,0.31,11.0,0,1.0,1,1.0
112.0,3.86,17.75,17.75,0.0,0.0,3.03,1.886,0.0,95.0,0.1,12.0,0,1.0,1,1.0
24.0,0.76,5.12,5.12,0.0,0.0,0.09,0.057,0.0,48.0,0.08,1.0,0,1.0,1,1.0
339.0,11.73,73.45,73.45,0.0,0.0,0.54,0.342,0.0,968.0,1.24,3.0,0,1.0,1,1.0
27.0,0.85,5.14,5.14,0.0,0.0,0.36,0.23,0.0,54.0,0.06,2.0,0,1.0,1,1.0
353.0,12.93,74.46,74.46,0.0,0.0,1.07,0.684,0.0,1079.0,0.88,6.0,0,1.0,1,1.0
61.0,3.47,4.66,4.66,0.0,0.0,3.25,2.096,0.0,46.0,0.05,13.0,0,1.0,1,1.0
63.0,5.25,7.04,7.04,0.0,0.0,1.55,1.0,0.0,70.0,0.08,6.0,0,1.0,1,1.0
56.0,5.73,7.68,7.68,0.0,0.0,0.18,0.116,0.0,77.0,0.09,2.0,0,1.0,1,1.0
85.0,4.93,13.8,13.8,0.0,0.0,1.25,0.806,0.0,66.0,0.07,5.0,0,1.0,1,1.0
99.0,3.98,18.64,18.64,0.0,0.0,1.15,0.742,0.0,53.0,0.06,5.0,0,1.0,1,1.0
102.0,4.37,19.05,19.05,0.0,0.0,1.08,0.697,0.0,58.0,0.07,4.0,0,1.0,1,1.0
143.0,12.56,0.72,0.37,0.0,0.0,9.51,3.126,0.0,142.0,1.75,372.0,0,1.0,1,1.0
52.0,10.9,0.73,0.71,0.0,0.0,0.17,0.0,0.0,166.0,0.08,0.0,0,0.0,1,1.0
322.0,15.86,3.59,0.56,0.0,0.0,26.54,9.551,0.0,48.0,2.73,1085.0,0,1.0,1,1.0
296.0,15.53,0.81,0.16,0.0,0.0,25.6,8.615,0.0,67.0,4.55,991.0,0,1.0,1,1.0
307.0,13.87,10.95,10.3,0.0,0.0,22.82,7.11,0.0,70.0,3.7,917.0,0,1.0,1,1.0
196.0,13.61,0.83,0.4,0.0,0.0,14.84,4.323,0.0,207.0,1.89,401.0,0,1.0,1,1.0
155.0,12.58,1.12,1.12,0.0,0.0,10.61,3.267,0.0,124.0,1.19,373.0,0,1.0,1,1.0
154.0,10.57,0.64,0.31,0.0,0.0,11.66,3.319,0.0,155.0,1.48,313.0,0,1.0,1,1.0
143.0,12.51,0.71,0.37,0.0,0.0,9.47,3.113,0.0,297.0,1.75,370.0,0,1.0,1,1.0
149.0,9.99,1.61,1.39,0.0,0.0,10.98,3.331,0.0,145.0,1.31,277.0,0,1.0,1,1.0
592.0,48.05,1.13,0.56,0.0,0.0,43.9,15.069,0.0,476.0,7.2,1630.0,1,1.0,1,1.0
351.0,76.92,4.17,0.0,0.0,0.0,0.04,0.0,0.0,1156.0,0.23,0.0,0,0.0,1,0.0
376.0,82.4,4.47,0.0,0.0,0.0,0.04,0.0,0.0,1238.0,0.24,0.0,0,0.0,1,0.0
669.0,33.63,0.66,0.23,0.0,0.0,59.13,20.334,0.0,149.0,9.56,2307.0,1,1.0,1,1.0
185.0,12.81,1.45,0.93,0.0,0.0,13.77,3.681,0.0,146.0,3.85,884.0,0,1.0,1,1.0
185.0,13.87,1.35,0.94,0.0,0.0,13.27,3.595,0.0,138.0,3.64,852.0,0,1.0,1,1.0
158.0,13.05,0.41,0.4,0.0,0.0,11.09,3.557,0.0,141.0,3.65,844.0,0,1.0,1,1.0
444.0,55.5,21.8,21.8,0.0,0.0,13.0,3.766,0.0,800.0,3.16,572.0,1,1.0,1,1.0
717.0,0.85,0.06,0.06,0.0,0.0,81.11,50.489,0.0,11.0,0.02,215.0,0,1.0,1,1.0
415.0,37.86,3.41,0.9,0.0,0.0,27.34,17.37,0.0,1696.0,0.87,72.0,0,1.0,1,1.0
34.0,3.37,4.96,5.09,0.0,0.0,0.08,0.051,0.0,42.0,0.03,2.0,0,1.0,1,1.0
362.0,36.16,51.98,51.98,0.0,0.0,0.77,0.499,0.0,535.0,0.32,20.0,0,1.0,1,1.0
358.0,35.1,52.19,52.19,0.0,0.0,0.72,0.47,0.0,549.0,0.31,18.0,0,1.0,1,1.0
452.0,30.52,2.17,2.17,0.0,0.0,35.59,24.609,0.0,423.0,1.88,105.0,1,1.0,1,1.0
364.0,21.58,0.12,0.12,0.0,0.0,29.84,20.639,0.0,415.0,1.62,79.0,0,1.0,1,1.0
264.0,18.52,0.0,0.0,0.0,0.0,21.08,14.575,0.0,459.0,1.9,46.0,0,1.0,1,0.0
275.0,14.07,1.77,0.07,0.0,0.0,22.93,7.159,0.0,3487.0,3.4,912.0,0,1.0,1,1.0
248.0,11.47,23.67,23.67,0.0,0.0,12.22,3.711,0.0,685.0,0.4,0.0,0,0.0,1,1.0
197.0,10.33,5.48,0.19,0.0,0.1,14.92,8.034,0.0,493.0,0.35,38.0,0,1.0,1,1.0
373.0,21.44,4.63,4.63,0.0,0.0,29.98,19.033,0.0,1131.0,0.47,105.0,0,1.0,1,1.0
356.0,22.6,2.87,2.87,0.0,0.0,28.26,17.939,0.0,705.0,0.51,105.0,0,1.0,1,1.0
374.0,21.56,5.56,5.56,0.0,0.0,29.68,18.843,0.0,617.0,0.47,105.0,0,1.0,1,1.0
173.0,24.35,1.91,0.52,0.0,0.0,7.0,4.342,0.0,873.0,0.42,21.0,0,1.0,1,1.0
398.0,24.35,1.91,0.49,0.0,0.0,32.62,20.768,0.0,21.0,0.72,100.0,0,1.0,1,1.0
147.0,12.33,1.01,0.25,0.0,0.0,9.95,3.382,0.0,128.0,1.74,372.0,0,1.0,1,1.0
48.0,10.2,1.04,0.25,0.0,0.0,0.0,0.0,0.0,169.0,0.04,0.0,0,0.0,0,1.0
382.0,81.1,7.8,5.4,0.0,0.0,0.0,0.0,0.0,1280.0,0.15,0.0,0,0.0,0,1.0
50.0,3.3,4.8,5.06,0.0,0.0,1.98,1.257,0.0,47.0,0.02,8.0,0,1.0,1,1.0
42.0,3.37,4.99,5.2,0.0,0.0,0.97,0.633,0.0,44.0,0.03,5.0,0,1.0,1,1.0
181.0,7.0,7.0,0.3,0.0,0.0,14.1,8.7,0.0,70.0,0.06,35.0,0,1.0,1,1.0
136.0,3.5,7.1,0.22,0.0,0.0,10.6,6.6,0.0,83.0,0.07,35.0,0,1.0,1,1.0
74.0,3.1,15.6,0.39,0.0,0.0,0.0,0.0,0.0,141.0,0.0,9.0,0,1.0,0,1.0
282.0,27.2,2.0,0.58,0.0,0.0,18.3,11.58,0.0,725.0,0.13,56.0,0,1.0,1,1.0
43.0,3.86,7.5,7.5,0.0,0.0,0.18,0.116,0.0,59.0,0.12,2.0,0,1.0,1,1.0
370.0,40.0,40.0,1.5,0.0,0.0,5.0,3.11,0.0,1150.0,5.0,20.0,0,1.0,1,1.0
105.0,15.69,7.66,5.48,0.0,0.0,1.0,0.644,0.0,702.0,0.19,12.0,0,1.0,1,1.0
112.0,3.53,23.53,14.97,0.0,1.2,0.0,0.0,0.0,135.0,0.42,1.0,0,1.0,0,1.0
276.0,12.0,9.2,6.7,0.0,0.3,21.0,13.1,0.0,1638.0,0.19,75.0,0,1.0,1,1.0
215.0,16.3,16.2,8.2,0.0,0.2,9.5,6.4,0.0,1705.0,0.16,35.0,0,1.0,1,1.0
148.0,22.7,11.7,6.7,0.0,0.2,1.0,0.7,0.0,1298.0,0.05,16.0,0,1.0,1,1.0
303.0,16.3,9.8,8.1,0.0,0.0,22.0,14.4,0.0,1499.0,0.18,80.0,0,1.0,1,1.0
222.0,19.6,11.8,8.5,0.0,0.0,10.6,7.1,0.0,1586.0,0.14,42.0,0,1.0,1,1.0
152.0,4.5,6.5,6.4,0.0,0.1,12.0,7.6,0.0,59.0,0.06,50.0,0,1.0,1,1.0
